,CompetitionID,CompetitorID,CompetitionDate,QArrAvg,Time_DoY,Time_M,Time_W
0,111,11019,2001-09-15,8.993055555555555,258,9,37
1,111,1138,2001-09-15,9.458333333333334,258,9,37
2,111,1140,2001-09-15,9.333333333333334,258,9,37
3,111,1141,2001-09-15,9.32638888888889,258,9,37
4,111,1142,2001-09-15,9.270833333333334,258,9,37
5,111,1144,2001-09-15,9.208333333333334,258,9,37
6,111,1145,2001-09-15,9.159722222222221,258,9,37
7,111,1147,2001-09-15,9.118055555555555,258,9,37
8,111,1148,2001-09-15,9.097222222222221,258,9,37
9,111,1149,2001-09-15,9.07638888888889,258,9,37
10,111,1151,2001-09-15,9.034722222222221,258,9,37
11,111,1152,2001-09-15,9.027777777777779,258,9,37
12,111,1156,2001-09-15,8.965277777777779,258,9,37
13,111,1157,2001-09-15,8.95138888888889,258,9,37
14,111,1158,2001-09-15,8.95138888888889,258,9,37
15,111,1159,2001-09-15,8.944444444444445,258,9,37
16,111,1160,2001-09-15,8.944444444444445,258,9,37
17,111,1161,2001-09-15,8.9375,258,9,37
18,111,1162,2001-09-15,8.9375,258,9,37
19,111,1163,2001-09-15,8.9375,258,9,37
20,111,1164,2001-09-15,8.930555555555555,258,9,37
21,111,1165,2001-09-15,8.930555555555555,258,9,37
22,111,1166,2001-09-15,8.909722222222221,258,9,37
23,111,1167,2001-09-15,8.895833333333334,258,9,37
24,111,1168,2001-09-15,8.895833333333334,258,9,37
25,111,1169,2001-09-15,8.88888888888889,258,9,37
26,111,1170,2001-09-15,8.82638888888889,258,9,37
27,111,1171,2001-09-15,8.8125,258,9,37
28,111,1173,2001-09-15,8.791666666666666,258,9,37
29,111,1175,2001-09-15,8.75,258,9,37
30,111,1601,2001-09-15,9.125,258,9,37
31,111,17243,2001-09-15,8.979166666666666,258,9,37
32,111,1754,2001-09-15,9.42361111111111,258,9,37
33,111,21273,2001-09-15,8.881944444444445,258,9,37
34,111,21502,2001-09-15,9.0625,258,9,37
35,111,21599,2001-09-15,9.145833333333334,258,9,37
36,111,21624,2001-09-15,8.70138888888889,258,9,37
37,111,21657,2001-09-15,9.256944444444445,258,9,37
38,111,21784,2001-09-15,8.76388888888889,258,9,37
39,111,355,2001-09-15,8.92361111111111,258,9,37
40,111,356,2001-09-15,9.01388888888889,258,9,37
41,111,358,2001-09-15,9.097222222222221,258,9,37
42,111,359,2001-09-15,9.055555555555555,258,9,37
43,111,367,2001-09-15,9.090277777777779,258,9,37
44,111,381,2001-09-15,9.4375,258,9,37
45,111,383,2001-09-15,8.756944444444445,258,9,37
46,111,389,2001-09-15,9.083333333333334,258,9,37
47,111,395,2001-09-15,9.166666666666666,258,9,37
48,111,398,2001-09-15,9.23611111111111,258,9,37
49,111,412,2001-09-15,9.069444444444445,258,9,37
50,111,421,2001-09-15,8.944444444444445,258,9,37
51,111,4260,2001-09-15,9.01388888888889,258,9,37
52,111,427,2001-09-15,8.895833333333334,258,9,37
53,111,430,2001-09-15,8.86111111111111,258,9,37
54,111,431,2001-09-15,8.777777777777779,258,9,37
55,111,433,2001-09-15,9.083333333333334,258,9,37
56,111,439,2001-09-15,9.152777777777779,258,9,37
57,111,447,2001-09-15,8.847222222222221,258,9,37
58,111,462,2001-09-15,8.9375,258,9,37
59,111,474,2001-09-15,9.152777777777779,258,9,37
60,111,476,2001-09-15,9.0,258,9,37
61,111,479,2001-09-15,9.055555555555555,258,9,37
62,111,5098,2001-09-15,8.79861111111111,258,9,37
63,111,512,2001-09-15,8.75,258,9,37
64,176,11019,2003-07-14,9.1875,195,7,29
65,176,1142,2003-07-14,9.36111111111111,195,7,29
66,176,1145,2003-07-14,9.0625,195,7,29
67,176,11456,2003-07-14,8.95138888888889,195,7,29
68,176,1149,2003-07-14,9.0625,195,7,29
69,176,1156,2003-07-14,9.104166666666666,195,7,29
70,176,1157,2003-07-14,8.95138888888889,195,7,29
71,176,1158,2003-07-14,8.930555555555555,195,7,29
72,176,1162,2003-07-14,8.979166666666666,195,7,29
73,176,1163,2003-07-14,8.82638888888889,195,7,29
74,176,1166,2003-07-14,8.82638888888889,195,7,29
75,176,1169,2003-07-14,9.090277777777779,195,7,29
76,176,1170,2003-07-14,9.11111111111111,195,7,29
77,176,1178,2003-07-14,8.92361111111111,195,7,29
78,176,1186,2003-07-14,8.92361111111111,195,7,29
79,176,1195,2003-07-14,8.979166666666666,195,7,29
80,176,15017,2003-07-14,8.9375,195,7,29
81,176,1527,2003-07-14,9.256944444444445,195,7,29
82,176,1553,2003-07-14,8.9375,195,7,29
83,176,1555,2003-07-14,8.854166666666666,195,7,29
84,176,1578,2003-07-14,9.145833333333334,195,7,29
85,176,1610,2003-07-14,9.152777777777779,195,7,29
86,176,1642,2003-07-14,9.027777777777779,195,7,29
87,176,1649,2003-07-14,9.13888888888889,195,7,29
88,176,1651,2003-07-14,8.88888888888889,195,7,29
89,176,1656,2003-07-14,9.069444444444445,195,7,29
90,176,1668,2003-07-14,9.222222222222221,195,7,29
91,176,1669,2003-07-14,9.152777777777779,195,7,29
92,176,1704,2003-07-14,9.11111111111111,195,7,29
93,176,1754,2003-07-14,9.597222222222221,195,7,29
94,176,1765,2003-07-14,8.993055555555555,195,7,29
95,176,21300,2003-07-14,8.916666666666666,195,7,29
96,176,2133,2003-07-14,8.895833333333334,195,7,29
97,176,2136,2003-07-14,9.041666666666666,195,7,29
98,176,21505,2003-07-14,8.98611111111111,195,7,29
99,176,21554,2003-07-14,9.32638888888889,195,7,29
100,176,21569,2003-07-14,8.916666666666666,195,7,29
101,176,21724,2003-07-14,8.979166666666666,195,7,29
